Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Area,Item,hg/ha_yield
1997,2280.0,3207.4,27.43,Nicaragua,Sorghum,16250
2004,1342.0,22.87,25.67,Central African Republic,Potatoes,20308
2012,637.0,6418.7,12.33,Romania,Maize,21870
2008,1604.0,882.13,25.42,Cameroon,Sorghum,14323
1995,593.0,27328.0,10.93,Turkey,"Rice, paddy",50045
2012,59.0,4996.2,26.83,Saudi Arabia,Wheat,59254
1997,2274.0,7612.0,23.0,Ecuador,Sweet potatoes,38750
1998,1761.0,118930.56,26.08,Brazil,Sweet potatoes,103928
2007,1118.0,3083.02,10.11,Ireland,Wheat,84626
2008,1410.0,5409.43,26.56,Dominican Republic,Plantains and others,94967
2007,1083.0,27422.77,25.66,India,Cassava,322204
2002,1020.0,1670.0,21.55,Zambia,Sweet potatoes,19969
1993,1083.0,66388.0,25.66,India,Maize,16015
1999,495.0,26098.8,16.09,South Africa,Wheat,24137
2006,282.0,11.87,27.62,Mali,Wheat,24025
1998,2331.0,151.33,27.65,Suriname,"Rice, paddy",37581
1991,832.0,88916.6,12.05,Italy,Sorghum,55089
1990,1761.0,49695.0,20.29,Brazil,Maize,18735
2002,1083.0,42482.56,25.07,India,Wheat,27621
1992,56.0,87.0,19.03,Libya,Maize,12627
2007,593.0,48715.51,19.82,Turkey,Wheat,21675
2010,1220.0,16770.87,8.4,United Kingdom,Wheat,76746
2002,3240.0,84023.26,27.77,Colombia,Soybeans,23600
1997,748.0,75.29,28.52,Burkina Faso,Sorghum,6804
1991,593.0,24343.0,13.21,Turkey,Wheat,21288
2013,2274.0,6471.77,21.94,Ecuador,Sorghum,15608
1995,1083.0,61257.0,25.55,India,Cassava,252775
2004,495.0,26857.0,18.75,South Africa,"Rice, paddy",24139
1995,1300.0,2413.02,16.66,Uruguay,Potatoes,100603
2004,1212.0,159.54,19.93,Rwanda,Cassava,57198
2001,2280.0,3603.5,26.78,Nicaragua,Maize,13241
2007,758.0,64501.28,22.18,Mexico,Cassava,122745
1992,1410.0,4971.0,26.4,Dominican Republic,Plantains and others,79229
2009,593.0,37651.15,11.63,Turkey,Sorghum,51316
2005,618.0,8306.31,6.53,Belarus,Wheat,32812
2010,1761.0,342580.0,27.56,Brazil,Cassava,139499
1999,494.0,20450.0,19.84,Pakistan,Sweet potatoes,112339
2000,630.0,1998.0,16.73,Kenya,Sorghum,6656
1999,494.0,20450.0,19.84,Pakistan,Sorghum,6167
1998,534.0,37215.0,18.9,Australia,Sorghum,21321
1993,700.0,25170.0,8.57,Germany,Soybeans,20000
1992,630.0,3469.0,16.34,Kenya,Cassava,102462
1995,1083.0,61257.0,24.64,India,Sweet potatoes,80643
2001,758.0,31373.3,20.15,Mexico,"Rice, paddy",42576
1990,2702.0,2432.0,25.37,Indonesia,Soybeans,11149
1991,630.0,3469.0,16.26,Kenya,Cassava,100000
1994,1162.0,944.0,11.33,Slovenia,Soybeans,11000
1995,1996.0,12004.33,19.98,Guatemala,Sweet potatoes,62500
2008,1220.0,21596.68,9.82,United Kingdom,Wheat,82814
1996,1083.0,56114.0,23.81,India,"Rice, paddy",28226
2009,1083.0,28707.01,24.87,India,Wheat,29071
2001,1761.0,151523.0,27.08,Brazil,Wheat,19488
1990,59.0,994.0,25.7,Saudi Arabia,Wheat,46461
1995,1668.0,79821.18,15.32,Japan,Yams,197704
1997,589.0,4445.0,9.89,Hungary,"Rice, paddy",33286
2000,250.0,3024.42,7.26,Kazakhstan,Wheat,9028
2008,758.0,61732.11,17.21,Mexico,Cassava,143579
2005,216.0,873.01,19.96,Iraq,Sorghum,9750
2004,1522.0,9830.72,13.44,Chile,Sweet potatoes,72917
1990,778.0,9729.0,10.63,Netherlands,Potatoes,401380
2001,832.0,75978.0,7.83,Italy,Maize,95135
2006,1083.0,37423.0,26.37,India,Potatoes,185920
1998,2051.0,909.71,27.8,Jamaica,Cassava,191949
2013,1212.0,1841.5,19.93,Rwanda,"Rice, paddy",53362
2001,51.0,5039.0,21.45,Egypt,"Rice, paddy",92833
2000,630.0,1998.0,16.73,Kenya,Maize,14400
1990,1274.0,92.08,21.15,Burundi,"Rice, paddy",33333
2004,534.0,36276.0,17.87,Australia,"Rice, paddy",83305
2010,1180.0,88.0,24.14,Uganda,Plantains and others,48000
2012,51.0,13991.0,22.48,Egypt,"Rice, paddy",95296
2010,2041.0,731.46,24.67,Mauritius,Sweet potatoes,114143
2000,56.0,3277.13,19.59,Libya,Potatoes,200000
2000,593.0,33471.0,12.03,Turkey,Wheat,22928
1999,534.0,34200.0,19.75,Australia,Sorghum,32215
1994,1083.0,61357.0,24.29,India,Wheat,23796
2004,565.0,15344.4,8.32,Ukraine,"Rice, paddy",37746
1992,1181.0,173.19,20.89,Malawi,Sorghum,1430
2007,1410.0,5689.8,27.08,Dominican Republic,Maize,13350
1997,1513.0,139.89,19.97,Madagascar,Cassava,67542
1995,1410.0,3449.0,26.82,Dominican Republic,Cassava,62154
2012,1342.0,22.87,25.28,Central African Republic,"Rice, paddy",30000
1995,758.0,34468.93,25.01,Mexico,Maize,22883
1997,2274.0,7612.0,17.82,Ecuador,"Rice, paddy",35876
1995,59.0,994.0,25.64,Saudi Arabia,Maize,19522
1996,608.0,3391.0,8.44,Bulgaria,Wheat,18818
1991,1668.0,79821.18,15.6,Japan,Maize,24896
1991,593.0,24343.0,18.94,Turkey,"Rice, paddy",49505
2002,661.0,1816.0,19.91,Lebanon,Maize,32435
1995,51.0,4391.0,21.56,Egypt,Potatoes,211244
1990,2274.0,2537.0,21.82,Ecuador,Sweet potatoes,59520
1996,1761.0,101621.67,20.18,Brazil,Soybeans,22493
2012,151.0,21.37,29.61,Niger,Potatoes,242957
1992,447.0,148.68,10.93,Azerbaijan,Maize,18740
2011,636.0,53549.0,13.28,Spain,Wheat,34475
1992,1274.0,92.08,21.31,Burundi,Potatoes,33357
2007,758.0,64501.28,19.7,Mexico,"Rice, paddy",41536
2004,591.0,65003.34,18.11,Argentina,Cassava,100000
1993,1668.0,79821.18,14.93,Japan,Sweet potatoes,194906
2008,1668.0,58750.0,13.31,Japan,Soybeans,17791
2006,494.0,6925.13,26.73,Pakistan,Wheat,25186
1998,1761.0,118930.56,22.35,Brazil,Cassava,123522
2000,1187.0,81.63,26.83,Ghana,"Rice, paddy",21589
1996,536.0,909.0,4.2,Finland,Potatoes,220029
1992,1212.0,97.0,19.54,Rwanda,Cassava,26100
1999,1513.0,49.52,19.82,Madagascar,Sorghum,6720
1991,1083.0,72133.0,25.85,India,Wheat,22814
2012,494.0,990.09,18.74,Pakistan,Soybeans,7901
2011,2702.0,1597.0,25.38,Indonesia,Potatoes,159562
1991,1410.0,4971.0,26.43,Dominican Republic,Sweet potatoes,68826
1997,1083.0,52279.0,25.21,India,"Rice, paddy",28457
1995,1212.0,188.2,19.81,Rwanda,Sorghum,11521
1996,1083.0,56114.0,25.9,India,Soybeans,10319
2000,2280.0,3925.63,26.73,Nicaragua,Plantains and others,100000
1990,207.0,909.0,19.34,Tunisia,Sorghum,4286
1997,2280.0,3207.4,27.43,Nicaragua,Soybeans,21333
1999,534.0,34200.0,19.75,Australia,Maize,51212
2000,2280.0,3925.63,26.73,Nicaragua,Cassava,108333
2011,1187.0,378.97,27.11,Ghana,Sorghum,11790
2009,1181.0,736.25,20.68,Malawi,Sorghum,7968
1998,758.0,34468.93,25.14,Mexico,Cassava,117046
2009,1083.0,28707.01,26.92,India,Sweet potatoes,90080
2012,1180.0,88.0,24.03,Uganda,"Rice, paddy",23043
2010,1083.0,40093.69,26.82,India,Soybeans,13330
2006,2702.0,1597.0,27.21,Indonesia,Potatoes,169363
1993,216.0,692.0,18.75,Iraq,Potatoes,174739
1998,1668.0,79821.18,13.74,Japan,Wheat,35111
2007,1083.0,27422.77,25.95,India,Maize,23352
1994,1668.0,79821.18,16.06,Japan,Maize,24852
1997,630.0,5172.0,16.77,Kenya,Sweet potatoes,111359
2011,3142.0,105.0,25.17,Papua New Guinea,Cassava,99179
2001,1180.0,88.0,23.47,Uganda,Sorghum,15000
1997,250.0,8112.0,7.53,Kazakhstan,Soybeans,10445
2006,589.0,11523.0,10.67,Hungary,Sorghum,36059
2004,1113.0,2174.0,10.06,Croatia,Soybeans,21545
1995,534.0,25598.0,13.14,Australia,Sorghum,18555
1998,2666.0,2068.0,26.13,Bangladesh,Sorghum,7901
1997,1083.0,52279.0,26.19,India,Maize,17111
2004,1083.0,35113.0,24.69,India,Soybeans,9082
2009,216.0,1429.27,20.26,Iraq,Sorghum,14279
2001,1761.0,151523.0,27.69,Brazil,Soybeans,27105
2009,589.0,11144.0,11.48,Hungary,Sorghum,27160
1991,1410.0,4971.0,26.57,Dominican Republic,Cassava,77740
2006,1500.0,128.73,15.92,Nepal,Maize,20382
2009,593.0,37651.15,19.94,Turkey,Sorghum,51316
1990,534.0,17866.0,16.8,Australia,Sorghum,24883
1997,1761.0,110276.11,20.77,Brazil,Soybeans,22977
2005,832.0,84647.0,7.33,Italy,Soybeans,36303
1996,703.0,3672.0,7.31,Denmark,Potatoes,367500
1998,534.0,37215.0,16.28,Australia,Maize,47544
2011,1622.0,87191.0,27.56,Thailand,Sorghum,18436
2001,593.0,25539.0,15.11,Turkey,Wheat,20765
1996,1274.0,207.1,21.18,Burundi,Soybeans,8305
1996,1083.0,56114.0,26.64,India,Potatoes,169913
1998,534.0,37215.0,12.46,Australia,"Rice, paddy",94256
2011,1522.0,9830.72,13.25,Chile,"Rice, paddy",51899
2001,1668.0,78735.45,15.97,Japan,Wheat,35546
2006,1083.0,37423.0,24.72,India,"Rice, paddy",31759
2009,494.0,3957.61,25.37,Pakistan,Potatoes,202848
1997,1513.0,139.89,19.97,Madagascar,Potatoes,57377
2001,534.0,32710.0,12.29,Australia,Sweet potatoes,333333
2012,593.0,42610.59,18.54,Turkey,Potatoes,280384
2001,92.0,39.09,28.28,Mauritania,Sweet potatoes,10004
1990,758.0,34468.93,22.63,Mexico,Potatoes,158256
1992,1668.0,79821.18,15.68,Japan,Yams,188269
2000,1083.0,44957.52,26.49,India,Sweet potatoes,97421
2005,2875.0,39406.48,27.59,Malaysia,Sweet potatoes,126406
2009,1761.0,335742.0,26.3,Brazil,"Rice, paddy",44049
1991,1976.0,6289.7,24.61,Honduras,Cassava,76776
1995,1784.0,3475.08,26.05,El Salvador,Maize,21972
2008,1604.0,882.13,25.42,Cameroon,Maize,20000
2004,285.0,56.0,21.01,Namibia,Wheat,41622
2007,630.0,1578.0,16.6,Kenya,Soybeans,8400
1991,758.0,34468.93,22.5,Mexico,Sorghum,31195
1998,1761.0,118930.56,22.35,Brazil,Wheat,16111
1992,1604.0,1137.56,24.6,Cameroon,Yams,55238
2013,2274.0,6471.77,21.69,Ecuador,Soybeans,16585
1992,1522.0,15373.0,12.93,Chile,Wheat,33787
2010,1113.0,1540.0,10.0,Croatia,Soybeans,27203
1994,346.0,10992.57,17.88,Morocco,Sweet potatoes,154663
1997,626.0,200.0,5.95,Estonia,Potatoes,124153
1999,636.0,33614.0,17.14,Spain,"Rice, paddy",75388
2011,854.0,14024.98,16.91,Portugal,Sweet potatoes,253007
1993,630.0,3469.0,16.36,Kenya,Maize,15549
2006,1083.0,37423.0,25.78,India,"Rice, paddy",31759
1994,216.0,692.0,20.02,Iraq,"Rice, paddy",23497
1994,1604.0,411.42,24.93,Cameroon,Soybeans,6026
2008,1083.0,14485.33,27.05,India,Cassava,335407
2005,494.0,7914.31,26.04,Pakistan,Soybeans,12000
2012,1738.0,18885.82,17.68,Peru,"Rice, paddy",77851
2000,1410.0,5082.0,26.37,Dominican Republic,Maize,12343
2007,686.0,557.92,25.34,Senegal,"Rice, paddy",24078
1997,2702.0,1597.0,27.26,Indonesia,Cassava,121718
2013,1761.0,367778.0,20.07,Brazil,Sorghum,26817
1997,1300.0,3362.05,17.46,Uruguay,Sweet potatoes,107143
1997,700.0,30414.0,5.79,Germany,Potatoes,384055
2006,494.0,6925.13,23.28,Pakistan,Soybeans,11287
1996,1761.0,101621.67,27.6,Brazil,Maize,24761
1998,758.0,34468.93,16.21,Mexico,Potatoes,204955
2005,1712.0,1742.41,26.73,Sri Lanka,"Rice, paddy",35465
1997,1083.0,52279.0,24.92,India,Wheat,26789
1998,216.0,755.0,20.65,Iraq,Wheat,8071
2005,758.0,51741.99,16.93,Mexico,Cassava,126099
1990,1010.0,64.0,24.12,Angola,Wheat,7995
2008,51.0,9527.0,21.74,Egypt,Maize,79053
1998,1020.0,1670.0,21.32,Zambia,Sorghum,7082
2004,2274.0,29799.84,22.33,Ecuador,Plantains and others,58351
1997,1761.0,110276.11,27.57,Brazil,Cassava,128200
1992,758.0,34468.93,17.33,Mexico,"Rice, paddy",43577
2000,748.0,75.44,28.6,Burkina Faso,Soybeans,8519
2006,2274.0,7953.42,22.31,Ecuador,Plantains and others,56123
1995,1761.0,92967.22,27.34,Brazil,Yams,91587
2013,636.0,54197.0,17.46,Spain,"Rice, paddy",77902
2006,51.0,9781.0,22.05,Egypt,Potatoes,250085
2010,1083.0,40093.69,27.69,India,Soybeans,13330
2000,282.0,17.59,27.51,Mali,"Rice, paddy",21058
1997,51.0,4607.0,20.52,Egypt,Potatoes,218355
2000,1761.0,140423.0,27.5,Brazil,Cassava,134815
1991,1032.0,102.26,21.77,Mozambique,Sweet potatoes,65029
2007,1020.0,1670.0,20.87,Zambia,Wheat,61511
2000,494.0,27885.0,23.6,Pakistan,Maize,17086
2006,2274.0,7953.42,17.6,Ecuador,Potatoes,69768
2005,832.0,84647.0,7.33,Italy,Potatoes,250819
1998,2702.0,1597.0,27.77,Indonesia,Maize,26526
2010,1668.0,55576.0,13.82,Japan,Wheat,27612
1998,1761.0,118930.56,22.35,Brazil,Yams,91823
2000,2274.0,17948.0,17.06,Ecuador,Potatoes,56332
2007,691.0,247.9,8.69,Tajikistan,"Rice, paddy",30707
2000,1604.0,545.0,24.88,Cameroon,Maize,24615
2009,56.0,6046.0,19.93,Libya,Maize,24790
2001,1784.0,2543.7,25.92,El Salvador,Sorghum,15445
2010,1761.0,342580.0,24.95,Brazil,Maize,43667
2004,1083.0,35113.0,27.63,India,Maize,19073
2001,346.0,13842.57,18.73,Morocco,Soybeans,10000
2009,534.0,38065.68,19.01,Australia,Wheat,15831
2007,1761.0,304031.0,18.66,Brazil,Cassava,140099
2010,1274.0,264.53,21.75,Burundi,Cassava,40629
2002,1604.0,815.79,25.26,Cameroon,"Rice, paddy",11137
1998,636.0,35070.0,17.15,Spain,Soybeans,20731
2005,593.0,40332.0,14.23,Turkey,Potatoes,266540
2004,2702.0,1597.0,27.57,Indonesia,Soybeans,12801
1996,758.0,34468.93,20.79,Mexico,Wheat,41706
2012,636.0,48668.0,17.51,Spain,Wheat,23718
1993,534.0,23899.0,18.03,Australia,Soybeans,16168
2013,494.0,0.92,27.21,Pakistan,Wheat,27957
2010,3240.0,48618.46,27.54,Colombia,Wheat,17697
1992,700.0,29542.0,10.38,Germany,Soybeans,30000
1997,1976.0,6980.0,25.03,Honduras,Potatoes,132505
2011,2702.0,1597.0,27.39,Indonesia,Sweet potatoes,123289
2009,1083.0,28707.01,28.03,India,Wheat,29071
2006,1083.0,37423.0,25.31,India,Sweet potatoes,86849
2007,1010.0,40.0,24.24,Angola,Sweet potatoes,58855
2008,1083.0,14485.33,24.25,India,Potatoes,192973
2009,1083.0,28707.01,24.87,India,"Rice, paddy",32366
1991,1668.0,79821.18,15.6,Japan,Sweet potatoes,205631
2010,1668.0,55576.0,13.82,Japan,Soybeans,16158
2007,2280.0,9850.26,27.23,Nicaragua,"Rice, paddy",39482
2004,2274.0,29799.84,22.33,Ecuador,Sorghum,20000
2004,1083.0,35113.0,24.85,India,Sweet potatoes,88588
2012,1083.0,52980.0,26.94,India,Sweet potatoes,97174
1998,1180.0,88.0,23.97,Uganda,Sorghum,15000
1996,416.0,17.0,19.1,Botswana,Maize,2463
2007,1083.0,27422.77,27.23,India,Soybeans,12351
2006,565.0,28832.6,7.88,Ukraine,Maize,37352
1990,1440.0,17.14,27.11,Haiti,"Rice, paddy",21122
1992,1712.0,2144.31,26.26,Sri Lanka,Plantains and others,131963
2004,494.0,8903.48,27.5,Pakistan,Potatoes,176673
2005,56.0,8314.0,20.28,Libya,Potatoes,157629
2006,591.0,65872.12,18.35,Argentina,Cassava,100000
1998,1083.0,49157.0,26.69,India,"Rice, paddy",28805
2005,758.0,51741.99,22.95,Mexico,Sorghum,34544
2008,758.0,61732.11,25.22,Mexico,Soybeans,20196
1991,2702.0,3259.0,27.05,Indonesia,Maize,21505
1990,1761.0,49695.0,25.29,Brazil,Sweet potatoes,101661
1996,593.0,30286.0,13.77,Turkey,Potatoes,235756
2001,636.0,35700.0,17.84,Spain,"Rice, paddy",75795
1996,1187.0,1575.5,26.61,Ghana,Plantains and others,79711
2004,2702.0,1597.0,25.67,Indonesia,"Rice, paddy",45365
1991,1668.0,79821.18,13.32,Japan,Yams,192204
1993,1996.0,12004.33,19.85,Guatemala,Wheat,19924
2005,2280.0,9391.92,27.2,Nicaragua,Potatoes,134783
2010,2331.0,1286.65,27.7,Suriname,Maize,23333
2001,1761.0,151523.0,22.14,Brazil,Maize,34019
1991,748.0,29.1,28.4,Burkina Faso,Sweet potatoes,55862
2007,847.0,6712.05,11.52,Belgium,Maize,131278
1990,1668.0,79821.18,14.14,Japan,Yams,210808
1990,1761.0,49695.0,25.29,Brazil,Cassava,125529
1990,494.0,5299.0,26.23,Pakistan,Soybeans,5679
1991,534.0,17866.0,18.73,Australia,Soybeans,15551
2002,778.0,9700.44,10.64,Netherlands,Potatoes,445686
1990,703.0,5650.0,9.83,Denmark,Potatoes,374583
1994,2666.0,1594.5,25.91,Bangladesh,Sorghum,9892
2009,1212.0,1187.6,19.84,Rwanda,"Rice, paddy",56178
1991,1784.0,4096.0,26.08,El Salvador,Maize,16448
1999,1187.0,114.13,26.74,Ghana,Cassava,122528
2008,495.0,26857.0,15.75,South Africa,Soybeans,17050
2001,56.0,4284.5,20.09,Libya,Potatoes,195000
1992,591.0,26156.0,17.51,Argentina,Cassava,100000
2010,700.0,40832.42,8.61,Germany,Potatoes,398758
2009,1761.0,335742.0,24.98,Brazil,Soybeans,26365
2011,495.0,26857.0,20.72,South Africa,Potatoes,349826
2012,758.0,64512.22,23.5,Mexico,Sorghum,38295
1992,207.0,909.0,18.54,Tunisia,Wheat,17030
2008,2666.0,12936.5,26.0,Bangladesh,"Rice, paddy",41441
2006,1537.0,1359.04,8.19,Switzerland,Potatoes,326986
2011,59.0,4840.3,26.4,Saudi Arabia,Wheat,61429
1997,1784.0,3164.62,26.48,El Salvador,Soybeans,24444
2008,1410.0,5409.43,26.56,Dominican Republic,Sorghum,21736
1990,282.0,95.7,27.61,Mali,Sweet potatoes,48316
2005,216.0,873.01,19.96,Iraq,Wheat,8738
2013,1410.0,6316.61,26.88,Dominican Republic,Yams,63432
1993,1976.0,6768.0,24.58,Honduras,Wheat,5808
1996,593.0,30286.0,17.49,Turkey,Potatoes,235756
1994,1083.0,61357.0,25.33,India,Soybeans,9106
2011,2274.0,17529.44,21.78,Ecuador,Sweet potatoes,19113
1991,1274.0,92.08,20.97,Burundi,Soybeans,10000
1991,3240.0,16817.0,27.3,Colombia,Sorghum,28784
2007,1220.0,22331.7,10.83,United Kingdom,Wheat,72244
1999,494.0,20450.0,27.14,Pakistan,Potatoes,165413
1992,1622.0,18849.0,27.55,Thailand,Cassava,140332
2012,1712.0,2469.47,26.42,Sudan,Wheat,17297
1992,1651.0,80.0,27.02,Guinea,Sorghum,15038
1993,748.0,17.0,28.58,Burkina Faso,Sweet potatoes,50965
2000,591.0,63265.78,17.66,Argentina,Potatoes,277566
2007,1083.0,27422.77,25.44,India,Sweet potatoes,86976
1992,2274.0,2012.0,21.94,Ecuador,Plantains and others,101582
2001,1976.0,1141.0,24.4,Honduras,Maize,14992
1999,1083.0,46195.0,26.85,India,Cassava,239523
2001,636.0,35700.0,17.27,Spain,Sorghum,38704
2008,1083.0,14485.33,26.52,India,Sorghum,10209
2008,1083.0,14485.33,25.68,India,"Rice, paddy",32509
2002,2274.0,1302.49,22.47,Ecuador,Potatoes,48788
2008,1083.0,14485.33,24.51,India,"Rice, paddy",32509
2010,1622.0,68986.0,28.54,Thailand,Maize,41799
2006,51.0,9781.0,21.15,Egypt,Maize,83705
1993,1668.0,79821.18,12.49,Japan,Soybeans,11510
2011,1083.0,55540.0,25.45,India,Wheat,29886
2006,700.0,38540.15,10.15,Germany,Wheat,72007
1999,1440.0,26.32,27.01,Haiti,"Rice, paddy",20833
1999,1083.0,46195.0,25.97,India,Sweet potatoes,85744
2010,847.0,4644.53,9.74,Belgium,Maize,119283
1997,1212.0,249.0,19.78,Rwanda,Sorghum,11222
1990,1181.0,173.19,20.86,Malawi,Sorghum,5015
2002,1181.0,134.25,20.76,Malawi,"Rice, paddy",16425
1998,1761.0,118930.56,20.71,Brazil,Potatoes,156439
2001,2702.0,1597.0,27.52,Indonesia,Maize,28446
1994,534.0,21057.0,16.43,Australia,Sweet potatoes,140961
1996,758.0,34468.93,25.06,Mexico,Cassava,77192
2008,92.0,17.22,28.14,Mauritania,"Rice, paddy",47631
2005,1668.0,63829.77,15.75,Japan,"Rice, paddy",66483
1993,2702.0,1597.0,27.04,Indonesia,"Rice, paddy",43750
2011,1668.0,51796.3,15.38,Japan,Maize,25797
2000,691.0,527.25,8.78,Tajikistan,Sorghum,14588
2009,1083.0,28707.01,27.15,India,Sweet potatoes,90080
1998,618.0,8306.31,6.11,Belarus,Maize,26522
2006,1668.0,65248.26,13.28,Japan,Maize,25324
2007,1083.0,27422.77,24.6,India,Potatoes,164101
2000,1083.0,44957.52,26.49,India,Maize,18216
2002,494.0,10881.83,19.7,Pakistan,Maize,18448
1992,778.0,9030.0,10.39,Netherlands,Potatoes,408173
1998,494.0,18406.0,23.11,Pakistan,Maize,17853
2008,1083.0,14485.33,26.19,India,Wheat,28022
1999,1083.0,46195.0,25.29,India,"Rice, paddy",29782
1993,636.0,29408.0,16.28,Spain,Sweet potatoes,185053
2013,51.0,13653.0,22.91,Egypt,Soybeans,34767
2002,495.0,26857.0,19.28,South Africa,Sweet potatoes,34918
2006,1274.0,190.51,21.83,Burundi,Yams,56615
2002,1761.0,145552.0,25.18,Brazil,Wheat,14754
2008,1083.0,14485.33,25.68,India,Wheat,28022
2006,832.0,74349.0,8.15,Italy,Soybeans,30987
2013,1761.0,367778.0,20.07,Brazil,Sweet potatoes,130913
2004,534.0,36276.0,20.42,Australia,Maize,56326
2007,494.0,5935.96,27.69,Pakistan,Maize,34265
2005,1083.0,35342.0,26.28,India,Soybeans,10734
2010,1020.0,1670.0,21.34,Zambia,Cassava,57968
1993,447.0,148.68,10.53,Azerbaijan,Sorghum,1659
1995,593.0,27328.0,19.15,Turkey,Maize,37322
2000,657.0,2953.36,20.28,Zimbabwe,Sweet potatoes,21333
2007,1083.0,27422.77,26.15,India,Cassava,322204
2009,2331.0,2191.37,27.45,Suriname,"Rice, paddy",42092
1997,1668.0,79821.18,13.43,Japan,Wheat,36387
2013,1083.0,45620.0,26.12,India,Potatoes,227606
2012,1410.0,6316.61,26.87,Dominican Republic,Yams,66228
2011,1083.0,55540.0,25.36,India,Soybeans,11998
2009,657.0,3269.99,20.52,Zimbabwe,Soybeans,15000
1998,1220.0,35422.0,10.4,United Kingdom,Wheat,75542
1993,1083.0,66388.0,27.07,India,Sweet potatoes,85962
1998,1761.0,118930.56,18.49,Brazil,Sweet potatoes,103928
2004,1485.0,817.68,16.16,Albania,Maize,46197
2001,1738.0,8414.17,16.95,Peru,Cassava,107528
1991,1083.0,72133.0,26.54,India,Potatoes,162540
1997,51.0,4607.0,20.52,Egypt,Sorghum,50427
2013,1032.0,766.93,21.37,Mozambique,Cassava,46115
1998,534.0,37215.0,20.62,Australia,Sorghum,21321
2008,1083.0,14485.33,24.25,India,Soybeans,10415
1990,1761.0,49695.0,21.88,Brazil,Wheat,11540
2001,593.0,25539.0,13.16,Turkey,Soybeans,33064
2010,1083.0,40093.69,26.67,India,Wheat,28395
2001,1181.0,177.24,20.59,Malawi,Cassava,169416
1998,537.0,41275.6,8.72,Canada,Soybeans,27922
2001,593.0,25539.0,20.09,Turkey,Potatoes,250409
1990,636.0,39562.0,17.3,Spain,Maize,64256
2008,1083.0,14485.33,25.88,India,"Rice, paddy",32509
1994,854.0,9580.0,16.12,Portugal,Potatoes,144950
2004,652.0,11594.0,18.07,Greece,Sweet potatoes,205463
1994,2051.0,1415.65,27.48,Jamaica,Cassava,195385
1999,282.0,19.82,27.26,Mali,Yams,122356
2010,1180.0,88.0,24.14,Uganda,Cassava,61120
1994,3240.0,17051.34,27.17,Colombia,Potatoes,159364
2013,1410.0,6316.61,26.51,Dominican Republic,Plantains and others,199939
1993,51.0,4175.0,20.74,Egypt,Potatoes,207792
1992,536.0,1372.0,5.8,Finland,Potatoes,192894
2010,1083.0,40093.69,26.51,India,Maize,25401
2004,1761.0,214725.0,25.94,Brazil,Potatoes,213525
1997,59.0,2513.0,25.88,Saudi Arabia,Potatoes,173596
2004,2041.0,697.91,24.25,Mauritius,Potatoes,185272
1991,1668.0,79821.18,15.43,Japan,Soybeans,14013
2012,1083.0,52980.0,25.89,India,"Rice, paddy",36909
2010,1220.0,16770.87,7.43,United Kingdom,Potatoes,438841
2006,92.0,1.7,27.82,Mauritania,Sweet potatoes,10000
2000,2666.0,3170.0,25.91,Bangladesh,Sweet potatoes,92479
1997,2280.0,3207.4,27.43,Nicaragua,Potatoes,140000
